userid,type,powerusage
0,1,259.9637874
1,1,287.5582977
2,1,270.6683739
3,1,282.9916567
4,4,518.4116907
5,1,293.8307634
6,4,482.0331149
7,4,516.6249354
8,2,21127.18283
9,1,272.3381825
10,1,323.5208523
11,1,286.1694512
12,1,263.7921776
13,1,223.8581197
14,1,195.0522673
15,1,275.3424494
16,1,256.6003608
17,1,315.0219217
18,1,262.5510766
19,1,317.0599361
20,1,280.4929797
21,4,465.5923579
22,4,497.7324462
23,1,267.9880143
24,1,230.4084558
25,1,301.7909516
26,1,344.8652367
27,4,475.8440187
28,1,120.3417862
29,1,311.0601275
30,4,494.3047956
31,1,263.841628
32,1,281.3981506
33,3,13014.26811
34,1,350.4186715
35,4,483.1372075
36,1,302.2106106
37,1,352.5227542
38,1,234.9868921
39,1,250.3380963
40,1,274.6303864
41,4,422.0936773
42,1,279.4060833
43,1,337.0921372
44,4,453.2434982
45,4,493.3284624
46,1,303.557298
47,1,224.5727592
48,4,502.8078668
49,1,391.4778213
50,1,250.2052382
51,1,317.3516067
52,1,295.9531209
53,1,146.9629899
54,4,433.9495102
55,1,390.6176457
56,1,278.1414614
57,1,337.0281322
58,1,248.5733191
59,1,330.9098106
60,1,461.559596
61,1,353.1770826
62,4,620.1363022
63,1,230.1190809
64,4,478.6137127
65,1,211.0370246
66,1,298.6431307
67,4,511.2023951
68,1,298.5055568
69,1,262.0354587
70,1,369.7441647
71,4,464.5202019
72,4,479.1074045
73,1,195.5606422
74,4,447.5975358
75,4,501.4827977
76,1,316.0789081
77,1,327.1449335
78,1,382.7651678
79,3,12538.40348
80,1,209.5690339
81,1,347.5061581
82,1,301.204157
83,1,360.4862199
84,1,310.9454012
85,1,419.2860283
86,1,290.9709661
87,1,323.7863665
88,1,281.1769133
89,1,337.4050265
90,2,15010.87087
91,4,533.4606283
92,1,363.3957309
93,1,422.6059761
94,1,275.0059626
95,1,292.9007921
96,1,319.3846099
97,1,353.110656
98,1,443.3678969
99,1,276.9338495
100,1,238.9451964
101,1,262.7249761
102,1,266.8975298
103,1,354.4903656
104,1,235.3024046
105,1,231.7619158
106,1,240.4002944
107,1,216.2857979
108,4,460.5988729
109,4,469.646052
110,1,318.6074764
111,1,210.1089918
112,1,249.3201817
113,1,238.7786289
114,1,344.0508907
115,1,353.5296233
116,1,93.05757456
117,1,233.1605659
118,1,342.8748185
119,4,599.0788779
120,1,371.5428788
121,4,597.9731521
122,1,244.5427679
123,1,314.2196357
124,4,508.3270169
125,1,306.3796217
126,1,287.1066013
127,1,338.3071908
128,3,8403.63411
129,1,232.8517044
130,1,329.7846906
131,1,361.9206246
132,4,443.1889165
133,1,334.9176808
134,1,244.9021768
135,1,241.364271
136,1,292.3458353
137,1,417.6793516
138,1,221.6105556
139,4,504.9957014
140,1,158.2146829
141,1,385.9389481
